approach,nx,ny,dofs,num_cells,iterations,residual,metadata,time_total,time_total_repeats,time_SNESSolve,time_MatAssemblyEnd,time_PCApply,time_PCSetUp,time_KSPSolve,time_SNESFunctionEval,time_MatMult,time_SNESJacobianEval,time_MatAssemblyBegin,flops_SNESSolve,mflops_SNESSolve,flops_MatAssemblyEnd,mflops_MatAssemblyEnd,flops_PCApply,mflops_PCApply,flops_PCSetUp,mflops_PCSetUp,flops_KSPSolve,mflops_KSPSolve,flops_SNESFunctionEval,mflops_SNESFunctionEval,flops_MatMult,mflops_MatMult,flops_SNESJacobianEval,mflops_SNESJacobianEval,flops_MatAssemblyBegin,mflops_MatAssemblyBegin,flops_total,mem_rss_peak_kb,mem_rss_delta_kb
GMRES,16,16,578,256,292,0.0011715236146000213,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.02968273980000049,0.14841369900000245,0.055562899000001664,9.549999998625935e-05,0.0005207999999043977,5.999999999062311e-07,0.01774369999999692,0.0170140000000103,0.009477000000003954,0.02060969899999776,9.00000004122603e-06,88194550.0,1587.2920885571027,0.0,0.0,0.0,0.0,0.0,0.0,83733650.0,4719.06366766878,1433600.0,84.26002115899449,28038150.0,2958.547008545774,3021520.0,146.60670201929338,0.0,0.0,204421470.0,355756.0,0.0
GMRES + ILU PC,16,16,578,256,11,0.03678470127225577,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.02646012000000155,0.13230060000000776,0.04065509999999506,6.810000001422623e-05,0.0005103000000161728,0.0007086999999970089,0.001264400000003718,0.019034400000009555,0.0004000000000061732,0.019467799999986823,9.199999986719831e-06,7941985.0,195.35027585717327,0.0,0.0,1117800.0,2190.476190406768,402665.0,568.1741216335536,3078420.0,2434.6883897429193,1433600.0,75.31626949098897,1024650.0,2561.6249999604665,3021520.0,155.2060325256087,0.0,0.0,18020640.0,355756.0,0.0
Scale-Splitting GMRES,16,16,578,256,4,0.01841807583493582,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.08397139980002066,0.4198569990001033,0.32386989999999827,0.0002574999999964689,0.01117319999998756,0.264398000000007,0.011707599999994045,0.01878640000000331,0.00022569999998012236,0.018835299999992117,9.399999960635341e-06,7249765.0,22.384806368236255,0.0,0.0,924650.0,82.75605914160934,1187840.0,4.492620972927059,1485025.0,126.84282004858001,1433600.0,76.31052250562892,485425.0,2150.753212418041,3021520.0,160.41793865780022,0.0,0.0,15787825.0,355756.0,0.0
Scale-Splitting GMRES + ILU PC,16,16,578,256,4,0.018418103245734743,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.09810775979999561,0.4905387989999781,0.39365560000000244,0.00024150000002265415,0.004538499999995338,0.347239799999997,0.004982200000000603,0.020097500000005653,0.0011382000000210724,0.02024889999999857,1.0400000000743148e-05,16002340.0,40.65060931433441,0.0,0.0,9714975.0,2140.5695714465087,1187840.0,3.420806025115814,10275350.0,2062.4121873868485,1433600.0,71.33225525560876,2877315.0,2527.952029473493,3021520.0,149.21896991936418,0.0,0.0,44512940.0,355756.0,0.0
Scaling-Splitting Picard with MUMPS,16,16,578,256,194,0.0011849204289331192,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",11.721651135999991,58.60825567999996,58.51218838,5.83999999577145e-05,0.0,0.0,0.0,1.2053200629997534,0.0,0.0,2.4000000564683432e-06,13515701485.0,230.98950593377208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275059200.0,228.20428236749285,0.0,0.0,0.0,0.0,0.0,0.0,13790760685.0,355756.0,0.0
GMRES,32,32,2178,1024,996,0.0018718484345229347,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.07597481699999661,0.3798740849999831,0.27099130399999183,0.00047129999990147553,0.004715207000003829,5.000000129484761e-07,0.2255952680000206,0.01995321600000466,0.1400808930002455,0.025134019000006447,9.999999946330718e-06,1120002670.0,4132.983802314312,0.0,0.0,0.0,0.0,0.0,0.0,1102131850.0,4885.4386874812435,5734400.0,287.3922679932228,376068630.0,2684.6532881493044,12114640.0,482.0017045422339,0.0,0.0,2616052190.0,355756.0,0.0
GMRES + ILU PC,32,32,2178,1024,20,0.05809936206663995,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.03389040539996131,0.16945202699980655,0.0657767490000083,0.000229599999940433,0.0037552029999687875,0.002519702000000734,0.008512706000004755,0.024099517999985665,0.0028764020000693336,0.03037082299999838,1.0299999985363684e-05,44941090.0,683.2367163660572,0.0,0.0,7674870.0,2043.7963007762276,1796105.0,712.824373675727,25274165.0,2968.9930557904718,5734400.0,237.94666764718744,7309400.0,2541.1607973516266,12114640.0,398.89073799549806,0.0,0.0,104844670.0,355756.0,0.0
Scale-Splitting GMRES,32,32,2178,1024,4,0.04343534036900608,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.09855361399995673,0.4927680699997836,0.3882762920000147,0.0004401999999572581,0.029413520999952425,0.27770040999999424,0.03136532299998862,0.01889681299998358,0.0011235010000376633,0.02628002100000515,2.5500000035094672e-05,30262415.0,77.94041414199674,0.0,0.0,4747050.0,161.39006275405376,4751360.0,17.10966145134643,6916705.0,220.52076428489227,5734400.0,303.45857790967096,1905105.0,1695.6860740988525,12114640.0,460.9828888644201,0.0,0.0,66431675.0,355756.0,0.0
Scale-Splitting GMRES + ILU PC,32,32,2178,1024,4,0.043435327343488594,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",0.11122140360002959,0.556107018000148,0.45128783899998837,0.0004200010000374732,0.025941220999953885,0.37910088600000336,0.02724512100000709,0.01868021399998554,0.0077050070000126425,0.02478251800000919,1.2399999874901368e-05,112373015.0,249.00519200563454,0.0,0.0,87236050.0,3362.835157225448,4751360.0,12.533233699696387,89405705.0,3281.530847302045,5734400.0,306.9772112891447,19190880.0,2490.7024743739375,12114640.0,488.83813985308143,0.0,0.0,330806050.0,355756.0,0.0
Scaling-Splitting Picard with MUMPS,32,32,2178,1024,635,0.001873388414943561,"{'petsc_version': (3, 23, 3), 'firedrake_version': '0+untagged.36.g5df37bf.dirty', 'backend': 'events', 'repeats': 5}",45.0576164864,225.288082432,225.195153748,0.00020020000002318739,0.0,0.0,0.0,4.33566220500137,0.0,0.0,3.0999999864889105e-06,186292402500.0,827.2487191641197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3588464640.0,827.6624124131613,0.0,0.0,0.0,0.0,0.0,0.0,189880867140.0,355756.0,0.0
